Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/256KB/256KB.out,83513.6,0.162,150.107,186.542,0.107,484.687,11765.3,377.599
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/512KB/512KB.out,85497.3,0.175,150.119,177.055,0.107,503.923,11766.8,382.817
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/1024KB/1024KB.out,90445.1,0.216,150.154,170.082,0.107,542.386,11769.8,392.713
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/2048KB/2048KB.out,150723,0.245,150.16,361.181,0.107,507.71,11775.1,132.851
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadDynamicEnergy/PCRAM/4096KB/4096KB.out,138828,0.263,150.192,189.917,0.107,760.876,11775.2,352.009
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteDynamicEnergy/STTRAM/16KB/16KB.out,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteDynamicEnergy/STTRAM/32KB/32KB.out,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteDynamicEnergy/STTRAM/64KB/64KB.out,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteDynamicEnergy/STTRAM/128KB/128KB.out,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteDynamicEnergy/STTRAM/256KB/256KB.out,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
