Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/64KB/64KB.out,167720um^2,1.64784ns,20.1143ns,10.3702GB/s,0.797MB/s,285.562pJ,630.225pJ,4934.61mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/128KB/128KB.out,174163um^2,1.68428ns,20.1167ns,10.1778GB/s,0.798MB/s,267.61pJ,631.493pJ,4967.04mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/256KB/256KB.out,104569um^2,1.70972ns,20.233ns,9.59956GB/s,0.797MB/s,264.799pJ,648.033pJ,627.309uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/512KB/512KB.out,174956um^2,1.74073ns,20.2485ns,9.59956GB/s,0.797MB/s,271.792pJ,655.027pJ,1254.62mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/1024KB/1024KB.out,136754um^2,1.75013ns,20.2591ns,9.50219GB/s,0.796MB/s,272.146pJ,655.049pJ,1257.22mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/2048KB/2048KB.out,239083um^2,1.78587ns,20.277ns,9.50219GB/s,0.796MB/s,278.601pJ,661.504pJ,2514.44mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/4096KB/4096KB.out,161466um^2,1.81467ns,20.4934ns,7.23358GB/s,0.788MB/s,277.563pJ,715.671pJ,1311.55mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/16KB/16KB.out,41054.6um^2,0.044ps,,492.303GB/s,0.107MB/s,290.67pJ,11750.9nJ,7.97047uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/32KB/32KB.out,48413.2um^2,0.055ps,,492.303GB/s,0.107MB/s,293.986pJ,11754.2nJ,15.9409uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/64KB/64KB.out,60342.9um^2,0.076ps,,406.374GB/s,0.107MB/s,358.245pJ,11758.6nJ,28.7566uW
