Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_area,ReadEDP,PCRAM,64,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
Destiny,iso_area,ReadEDP,PCRAM,128,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
Destiny,iso_area,ReadEDP,PCRAM,256,55337.9,0.124,150.095,343.798,0.107,386.775,11760.6,37.8021
Destiny,iso_area,ReadEDP,PCRAM,512,58588.4,0.136,150.103,312.539,0.107,424.18,11762.5,45.2148
Destiny,iso_area,ReadEDP,PCRAM,1024,92574,0.156,150.115,361.181,0.107,499.954,11767.3,66.4254
Destiny,iso_area,ReadEDP,PCRAM,2048,110833,0.189,150.135,262.906,0.107,645.418,11770.9,99.7694
Destiny,iso_area,ReadEDP,PCRAM,4096,138828,0.263,150.192,189.917,0.107,760.876,11775.2,352.009
Destiny,iso_area,WriteEDP,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,WriteEDP,STTRAM,32,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
Destiny,iso_area,WriteEDP,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,WriteEDP,STTRAM,128,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
Destiny,iso_area,WriteEDP,STTRAM,256,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
Destiny,iso_area,WriteEDP,STTRAM,512,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
Destiny,iso_area,WriteEDP,STTRAM,1024,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
Destiny,iso_area,WriteEDP,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,WriteEDP,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,WriteEDP,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
