Configuration,Total_Area,Read_L,Write_L,Read_BW,Write_BW,RDE,WDE,Leakage_Power
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/16KB/16KB.out,11093.172um^2,1.865ns,10.400ns,6.607GB/s,1.570GB/s,30.881pJ,131.272pJ,19.892uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/32KB/32KB.out,16656.354um^2,2.014ns,10.623ns,4.475GB/s,1.539GB/s,30.955pJ,134.203pJ,20.557uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/64KB/64KB.out,24360.965um^2,2.053ns,10.649ns,4.472GB/s,1.534GB/s,31.329pJ,134.404pJ,21.298uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/128KB/128KB.out,43607.861um^2,2.537ns,11.454ns,2.490GB/s,1.428GB/s,31.745pJ,140.268pJ,23.374uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/256KB/256KB.out,75636.693um^2,2.647ns,11.535ns,2.488GB/s,1.419GB/s,32.808pJ,140.631pJ,24.711uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/512KB/512KB.out,132075.625um^2,3.022ns,11.840ns,2.485GB/s,1.382GB/s,34.921pJ,141.344pJ,24.755uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/1024KB/1024KB.out,245580.037um^2,4.388ns,12.841ns,2.478GB/s,1.275GB/s,39.057pJ,142.704pJ,24.830uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/2048KB/2048KB.out,472061.674um^2,9.118ns,17.401ns,4.387GB/s,936.491MB/s,44.811pJ,142.964pJ,44.508uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/4096KB/4096KB.out,944123.348um^2,9.204ns,17.444ns,4.387GB/s,936.491MB/s,51.656pJ,149.808pJ,89.017uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/16KB/16KB.out,12776.990um^2,435.693ps,435.094ps,103.626GB/s,51.864GB/s,2.382pJ,1.664pJ,1.780uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/32KB/32KB.out,24447.693um^2,699.430ps,698.844ps,71.254GB/s,28.855GB/s,3.414pJ,2.009pJ,3.374uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/64KB/64KB.out,48895.387um^2,703.001ps,700.629ps,71.254GB/s,28.855GB/s,4.751pJ,3.346pJ,6.748uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/128KB/128KB.out,112095.860um^2,1.510ns,1.506ns,45.697GB/s,12.033GB/s,6.748pJ,4.524pJ,15.616uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/256KB/256KB.out,188911.152um^2,1.563ns,1.554ns,40.493GB/s,11.647GB/s,9.480pJ,6.722pJ,26.013uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/512KB/512KB.out,439635.715um^2,4.485ns,4.471ns,21.183GB/s,3.775GB/s,13.357pJ,8.979pJ,60.222uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/1024KB/1024KB.out,741484.223um^2,4.583ns,4.546ns,19.676GB/s,3.728GB/s,18.934pJ,13.471pJ,100.445uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/2048KB/2048KB.out,1.741mm^2,15.513ns,15.460ns,8.860GB/s,1.060GB/s,26.666pJ,17.978pJ,236.414uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/4096KB/4096KB.out,2.938mm^2,15.769ns,15.620ns,8.499GB/s,1.055GB/s,37.996pJ,27.121pJ,394.579uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/16KB/16KB.out,17014.210um^2,1.891ns,20.556ns,7.109GB/s,786.179MB/s,20.666pJ,92.914pJ,19.543uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/32KB/32KB.out,18357.733um^2,2.021ns,20.721ns,5.209GB/s,780.510MB/s,21.463pJ,108.384pJ,19.853uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/64KB/64KB.out,15382.798um^2,2.262ns,20.959ns,4.847GB/s,771.078MB/s,23.346pJ,110.105pJ,20.222uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/128KB/128KB.out,30765.595um^2,2.275ns,20.966ns,4.847GB/s,771.078MB/s,25.941pJ,112.700pJ,40.443uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/256KB/256KB.out,42492.439um^2,2.163ns,20.753ns,7.585GB/s,778.049MB/s,30.056pJ,93.719pJ,79.921uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/512KB/512KB.out,84984.878um^2,2.176ns,20.759ns,7.585GB/s,778.049MB/s,32.685pJ,96.348pJ,159.843uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/1024KB/1024KB.out,106947.124um^2,2.468ns,21.065ns,5.847GB/s,766.916MB/s,37.234pJ,108.433pJ,163.993uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/2048KB/2048KB.out,213894.248um^2,2.549ns,21.106ns,5.847GB/s,766.916MB/s,43.848pJ,115.047pJ,327.985uW
